uf,municipio,logradouro,complemento,bairro,telefone,id
SP,Jundiai,Rua Moreira César,185 -,Vila Arens,(11) 4588-1399,6918
BA,Jacobina,Rua Coronel João Vieira,38 -,Centro,(43) 3371-7473  (31) 2126-0820,3994
SP,Cabreuva,Avenida Itália,380 -,Jacaré,11-4529-6249,14652
SP,Presidente Prudente,Rua Pedro de Oliveira Costa,357 -,Centro,(18)3221-6082,8373
SP,Marilia,Avenida Sampaio Vidal,745 -,Centro,044-30276360,1063301
RJ,Volta Redonda,Rua Vinte e Um,452 - - Até 460/461,Vila Santa Cecília,44-30276360 ramal 1109,1069240
RS,Pelotas,Rua Quinze de Novembro,917 -,Centro,44-30276360 ramal 1109,1069234
TO,Palmas,Quadra Arne Conj. Qi A Alameda 03 Loteamento Palmas 12 Plano Diretor Norte,12 -,Distrito de Panambi,00,2003933
SC,Florianopolis,Rua Deodoro,265 -,Centro,(48)3224-1380,24094
PR,Vere,Rua Angelo Carniel,257 -,Centro,46 3535-1967,19162
RJ,Rio de Janeiro,Estrada Intendente Magalhães,199 - - Até 401 - Lado ??mpar,Madureira,044-30276360,1063250
SP,Sao Paulo,Rua Tamoios,739 -,Jardim Aeroporto,00,2003909
SP,Embu-guacu,Rua Boa Vista,561 Sl 03 -,Centro,(11) 3542-4514,6555
SP,Sao Paulo,Avenida Francisco Matarazzo,913 -,Perdizes,(11) 38333008,658566
SP,Santos,Av.ana Costa,164 -,Vila Matias,(13) 3222 4963 /,13419
TO,Araguaina,Rua 25 de Dezembro,475 -,Centro,(63)3412-7127,6608
PR,Curitiba,Rua Antonio Escorsin,1650 - Sala 10,São Brás,(41) 3016-1234,9826
SP,Sao Paulo,Rua Passos,36 -,Belém,(011) 3067-7971,1050182
SP,Osasco,Avenida Nossa Senhora dos Remédios,348 -,Vila dos Remédios,(43) 3371-7473  (31) 2126-0820,7263
SP,Monte Mor,"Av. Jânio Quadros, 617, Centro.",617 -,Centro,(19) 3879-6090,12984
SP,Limeira,Rua Capitão João Pompeu,370 -,Vila São Luiz,(19)3451-3007,9846
SP,Piracicaba,Avenida Rio Claro,290 -,Vila Areião,(19) 3432-9957,1078255
PR,Porecatu,Praça Padre Calógero Gaziano,336 -,Centro,043 36232963 043 99760412,2006807
SP,Guaruja,"Av. Adhemar de Barros, 2 Andar, 1549, Vila Santa Rosa.",1549 -,Vila Santa Rosa,13 3341-1020,11804
SP,Guaratingueta,Rua Paisandú,181 -,Centro,12 3122-2049,2003849
SP,Sao Paulo,R. Eunice Bechara de Oliveira,734 -,Capão Redondo,0,10128
SP,Sao Paulo,Av. Presidente Altino,215 -,Jaguaré,00,10201
SP,Jundiai,Rua do Retiro,3.000 -,Retiro,(11) 4521-7835,1060981
SP,Matao,Av. Toledo Malta,356 -,Centro,(16) 3383-7070,6930
SP,Iguape,Alameda Bento Neto,310/316 -,Jardim América,(13)38411068,9798
SP,Campinas,Rua José Paulino,1345 -,Centro,(19)3737-4390,102578
SP,Sao Paulo,Rua Roma,350 -,Lapa,044-30276360,1063416
MT,Colider,Rua Tancredoneves,574 -,Centro,(66) 9943-2969,22571
MG,Varzea da Palma,Aristides Rodrigues Pereira,543 -,Centro,38-3731-1955,1070563
SE,Aracaju,Avenida Marechal Cândido Mariano da Silva Rondon,S/n - (lado Par),Jabutiana,(71) 3368-8348,1075637
SC,Sao Bento do Sul,Rua Antonio Kaesemodel,55 -,Rio Negro,(47)3634-2226,8328
PA,Ananindeua,Travessa We-90,1102 -,Coqueiro,4733019000,1063936
SP,Ibiuna,"Av. Vereador Benedito de Campos, 156 Centro",49 -,Centro,15 - 3241-2652 / 3248-2277,12036
MG,Taiobeiras,Avenida Santos Dumont,100 -,Centro,38-8207-2223,1070571
SP,Embu-guacu,"Rua Boa Vista, 561, Sl 03 Centro",19 -,Centro,(11)97091118,11763
MT,Cuiaba,Rua Guiratinga,5 - Qd-105,Cpa Ii,4733019000,1064796
MG,Porteirinha,Rua Professora Durçulina Antunes Câmara,55 -,Centro,38-9111-8090,1070565
MG,Sao Francisco,Avenida Brasiliano Braz,1192 -,Centro,38-3631-2093,1070564
MG,Sete Lagoas,Avenida Prefeito Alberto Moura,6000 -,Distrito Industrial,31-37718178,1070741
MG,Montes Claros,Avenida Donato Quintino,90 -,Cidade Nova,(38) 3690 3690,1052618
MG,Teofilo Otoni,Rua Desembargador Eustáquio Peixoto,85 -,São Diogo,33-35216812,1070569
RS,Porto Alegre,Avenida Benno Mentz,1560 -,Vila Ipiranga,044-30276360,1063397
MG,Juiz de Fora,Avenida dos Andradas,547 - - Até 985/986,Centro,32-3235-1744,1070561
SC,Canoinhas,Rua Senador Felipe Schmidt,1355 -,Centro,4733019000,1063632
MG,Pocos de Caldas,Avenida João Pinheiro,1236 -,Vila Cruz,(35)3715-1899,8806
MG,Montes Claros,Avenida Osmani Barbosa,937 - - Até 1715 - Lado ??mpar,Conjunto Residencial Jk,38-36903655,1070572
RS,Ijui,"Rua 7 de Setembro, 850 Centro",434 -,Centro,00,10589
BA,Ilheus,Avenida Itabuna,2388 -,Centro,7132068002,1064054
SP,Amparo,"Rod. Joao Beira - Sp 95 - Km 46,5",-,Modelo,(19)39079870,1047532
MG,Pouso Alegre,"Rua Silviano Brandão, 358, Centro.",358 -,Centro,(35) 3421-5266,9276
RO,Jaru,Av Vereador Otaviano Pereira Neto,53 A - Gleba Setor 02,Gleba,044-30276360,1063288
RS,Novo Hamburgo,Rua Joaquim Nabuco,856 - - de 351/352 Ao Fim,Centro,044-30276360,1063308
SC,Criciuma,Rua Joaquim Nabuco,140 -,Centro,044-30276360,1064487
MG,Leopoldina,Praça Professor Botelho Reis,56 -,Centro,32-8886-2182,1070739
PR,Santa Fe,Rua Vereador,105 - Apº Scandelai,Jardim Itália,044-30276360,1063576
PR,Cornelio Procopio,Av. Alberto Carazzai,573 -,Centro,(43)3132-1079,8310
MG,Governador Valadares,Rua Bárbara Heliodora,687 -,Centro,(33) 3271-1280,12296
MG,Januaria,Praça Tiradentes,76 -,Centro,38-9171-2797,1070737
RS,Gravatai,Rua Coronel Sarmento,1736 - - Lado Par,Centro,044-30276360,1063283
MG,Curvelo,Rua Benjamin Constant,507 -,Centro,38-8809-6749,1070568
MG,Brasilia de Minas,Rua Bahia,230 -,Centro,38-32311429,1070735
MG,Espinosa,Rua Vicente Neres Santos,17 -,Centro,38-9100-0598,1070738
MG,Cataguases,Rua Joaquim Peixoto Ramos,120 -,Centro,32-8886-2182,1070736
MG,Contagem,Rua Haia,136 -,Santa Cruz Industrial,(31) 33911144,1061076
RO,Porto Velho,"Seminário Major João Xxii - Rua Gonçalves Dias, 290.",41 -,Centro,(69) 3221-2046,21095
RN,Natal,Av. Floriano Peixoto,295 -,Petrópolis,(84) 215-1366,2446
GO,Goiania,Avenida Mangalô,"742 - Quadra 06, Lote 56",Setor Morada do Sol,(43) 3371-7473  (31) 2126-0820,24206
MG,Teofilo Otoni,Rua Padre Virgulino,443 D -,Centro,044-30276360,1063276
MG,Aracuai,Rua Salvador,340 -,Vila Magnolia,38-36903684,1070570
MG,Belo Horizonte,Avenida Francisco Sales,77 - Colégio Nossa Senhora das Dores,Floresta,(31) 3047-5642,1045989
RS,Cachoeirinha,Rua Aparício Soares da Cunha,161 -,Vila Bom Princípio,4733019000,1064110
RJ,Nilopolis,Rua Dr. Rufino Gonçalves Ferreira,53 -,Centro,(43) 3371-7473  (31) 2126-0820,5746
RJ,Campos dos Goytacazes,Rua Tenente-coronel Cardoso,826 - Loja 01,Centro,044-30276360,1063359
MG,Bocaiuva,Rua Maristela Figueiredo,305 -,Centro,38-9941-9192,1070734
BA,Alagoinhas,Rua Quinze de Novembro,37 -,Centro,71-9995-8004,1070566
BA,Pojuca,Antônio Mota,159 -,Centro,71-9995-8004,1070567
MA,Lago da Pedra,Rua Libércia Gonçalves de Moraes,"S/n - 1º Andar, Sala 02",Vila Antônio Humberto de Moraes,(99) 3644.0080,1058811
BA,Vitoria da Conquista,Avenida Olívia Flores,200 -,Candeias,77-37712128,1070573
MA,Santa Ines,Rua Santo Antônio,476 -,Centro,(98) 3653-0513,27905
GO,Luziania,Rua Amazonas,-,Setor Presidente Kennedy,44-30276360 ramal 1109,1069245
PR,Ponta Grossa,Avenida Doutor Vicente Machado,585 -,Centro,44-30276385,1070184
CE,Itapipoca,Rua Eubia Barroso,S/n -,Ladeira,44 30276360,1064790
BA,Feira de Santana,Avenida Getúlio Vargas,351 - - Até 579 - Lado ??mpar - Edf São Francisco de Assis 351,Centro,044-30276360,1063237
GO,Formosa,Avenida ??ngelo Chaves,540 - - de 151/152 Ao Fim,Formosinha,044-30276360,1063303
ES,Marilandia,Rua Izaldino Camata,150 -,Centro,(27) 99520-4433,2003397
PR,Guaratuba,Rua José Nicolau Abagge,905 - Sala 11,Centro,41 34723611,10978
GO,Aguas Lindas de Goias,Quadra 22 Conjunto B (lote 10),-,Parque da Barragem Setor 08,44-30276360 ramal 1109,1069215
PR,Cafelandia,"Rod. Pr-574, Km 03",S/n    -,Parque Industrial,4733019000,1064584
BA,Itabuna,Praça Otávio Mangabeira,83 - Praça Camacan,Centro,(47)3281-9000,2006795
PR,Curitiba,Avenida Vereador Toaldo Túlio,3689 -,São Braz,(11) 9741-80878,1082647
PR,Antonina,"Rua Comendador Araújo, 88, Centro.",88 -,Centro,41 34323967,11422
PR,Cianorte,"Av. América, 3025, Zona I.",3025 -,Zona I,42362948325,11702
PB,Joao Pessoa,Rua Deputado José Mariz,1075 -,Tambauzinho,044-30276360,1063117
PR,Curitiba,Rua Modesto Piccoli,1300 - Md 1,Tingui,(41)36431551,1062465
MG,Sete Lagoas,Av. Prefeito Alberto Moura,15 -,Nova Cidade,(31) 37764951,1042532
MG,Uberlandia,Avenida Cesário Alvim,610 -,Centro,43-33717473 31 21260820,3232
PE,Jaboatao dos Guararapes,Rua José Brás Moscow,252 - - Até 348/349,Piedade,(81)996491504,1076280
MG,Belo Horizonte,Avenida Raja Gabáglia,1580/1600 -,Santa Lúcia,(31) 2102-7702,659005
MG,Belo Horizonte,Avenida Assis Chateaubriand,127 - - Até 399/400,Floresta,(43) 3371-7473  (31) 2126-0820,1059993
MG,Contagem,Av. Tom Jobim,2890 -,Cidade Industrial,(31) 2126.0789,1050919
MG,Divinopolis,Rua Rio de Janeiro,426 - 7º Andar,Centro,(37) 3222-7716,9232
ES,Vitoria,Rua Anselmo Serrat,199 -,Monte Belo,(27) 31324077,659213
BA,Bom Jesus da Lapa,Rua Manoel Gomes Souza,162 -,São Gotardo,0800 7744030,22613
GO,Aparecida de Goiania,"Av. Rio Verde, Quadra 123, Lotes 4, Sala 4 Setor dos Afonsos",Lotes 4/5 -,Setor dos Afonsos,62-3280-7436,10974
BA,Teixeira de Freitas,"Av. São Paulo, 459 Santa Rosa de Lima",459 -,Santa Rosa de Lima,00,2003380
MS,Tres Lagoas,Rua Paranaíba,349 -,Centro,67-3524 7633,10962
MA,Imperatriz,Rua Alagoas,1290 -,Nova Imperatriz,044-30276360,1063284
BA,Salvador,Rua Léllis Piedade,17 -,Ribeira,(43) 3371-7473  (31) 2126-0820,4311
GO,Goianesia,"Av. Minas Gerais, 44",44 -,Não Informado,62-3353-6847,2003405
BA,Nazare,Rua Dom Pedro Ii,68 - 1º Andar,Centro,75 3636 2799,10829
GO,Itumbiara,Avenida Osvaldo Cruz Shopping Paranaíba,120 -,Setor Bel,4733019000,2006799
SP,Teodoro Sampaio,R. Ricardo Fogarolli,440 - Rancho Alegrette,Vila Sampaio,(18)3282-3339,8277
BA,Salvador,Rua da Mouraria,46 -,Mouraria,7132068002,1064321
SP,Sao Paulo,Avenida Paulista,"1106 - 7º Andar, Conjunto 71, 72, 73 e 74",Bela Vista,(11) 32845371,1045358
BA,Porto Seguro,Rua Valdívio Costa,Sn -,Bairro Parque Ecológico,7132068002,1060265
SP,Taubate,Av. Charles Schnneider,585 -,Pq. Senhor Bonfim,(12)36314545,1043398
SP,Sao Paulo,Rua Gonçalo Nunes,366 - Chácara Califórnia,Tatuapé,011-2225-0666,1033585
BA,Gandu,Rua Antonio Coelho,Sn - Escola Municipal Elodia Veloso de Souza,Elizeu Leal,7132068002,1063244
BA,Salvador,Praça da Inglaterra,6 - Ed. Big,Comércio,(71) 3418-7272,1052422
SP,Marilia,Avenida Cristo Rei,270-305 -,Banzato,(14) 3422-1815,1076069
SP,Sao Paulo,Rua Três Rios,362 -,Bom Retiro,011-3067.7971,1050180
SP,Sao Jose do Rio Preto,Rua Rubião Júnior,3308 -,Centro,17.3222.4170,1060237
SP,Araraquara,Rua Voluntários da Pátria,1858 -,Centro,(11) 3293-1707,2000525
SP,Sao Paulo,Rua São Leopoldo,356 -,Belenzinho,11.2697.2626,1060278
RJ,Rio de Janeiro,Rua Magalhães Couto,112 - Méier,Méier,(21) 2563-1919,1082435
RJ,Rio de Janeiro,Rua João Vicente,1355 - Unidade Bento Ribeiro,Bento Ribeiro,02125631900,2784
RJ,Rio de Janeiro,Estrada de Jacarepaguá,6860 - Unidade Jacarepaguá,Jacarepaguá,2125631900,2785
RJ,Rio de Janeiro,Rua Buenos Aires,283 - Faculdade Moraes Junior Mackenzie Rio,Centro,21.2169-8200,1060267
RJ,Parati,Av. Aeroporto,19 -,Portão de Ferro,3371-1414,12813
MG,Lagoa Santa,Rua Vereador Ildeu Viana Matos,273 -,Centro,(31)32487172,1054426
SP,Ilhabela,Av. São João,383  -,Perequê,00,2003856
RO,Porto Velho,Rua Paulo Freire,4767 B -,Flodoaldo Pontes Pinto,69 3211 6000,1070693
PE,Araripina,Avenida Antônio de Barros Muniz,212 -,Centro,(87)3873-1001,12708
PB,Patos,Rua Vidal Negreiros,59 -,Centro,83 3421-1594,11316
MG,Paracatu,Rua Euridamas Avelino de Barros,60 -,Lavrado,(38) 3672-3737,1064587
RJ,Nova Iguacu,Travessa Almerinda Lucas de Azevedo,92 -,Centro,044-30276360,1063243
MG,Belo Horizonte,Rua Vilarinho,1820 - Loja 1,Venda Nova,(31) 32231313,1050201
PB,Campina Grande,Rua Prefeito Antônio Carvalho de Souza,S/n -,Estação Velha,(83) 3341 3900,659659
CE,Sobral,"Rua Jornalista Deolindo Barreto, 355 Centro",355 -,Centro,00,2003387
MG,Boa Esperanca,Av. João Júlio de Faria,367 -,Nova Era,35 3851 3576,11384
CE,Fortaleza,Rua Vicente Linhares,308 -,Aldeota,(85) 3456-4165,658260
MG,Uberlandia,Rua Guaicurus,244 -,Saraiva,34 9682-5313,1060277
ES,Vila Velha,Rodovia do Sol,5000 - Boulevard Shopping Vila Velha,Jockey de Itaparica,27 3311-3300,1071764
SP,Holambra,"Estrada Municipal Hbr 155, Lote 24 Seção K",S/n -,Palmeira,1938378500,1072269
MS,Maracaju,Rua João Pedro Fernandes,3200 - Escola Nossa Senhora Aparecida,Centro,4733019000,2006802
CE,Fortaleza,Av. 13 de Maio,389 -,Fátima,(85) 30387438,1045869
SC,Xaxim,Rod. Br-282,- Km 528,Trevo da Limeira,4733019000,6232
SP,Sao Paulo,Rua Dr.felice  Buscaglia,253 -,São Mateus,11 2962-3010,13831
SC,Imbituba,Sc 434 Km 13,S/n -,Centro,044-30276360,1063373
AC,Rio Branco,Rua Venezuela,658 - - de 213/214 Ao Fim,Habitasa,44-30276360 ramal 1109,1063268
PA,Belem,Rua Avertano Rocha,392 -,Comércio,091 3202 4150,6212
SP,Matao,Av. Ibitinga,685 -,Jd. Aeroporto,(16) 3382-3233,9577
MG,Belo Horizonte,Avenida Carlos Luz,800 -,Caiçara,(31)3516-2345 / (31)3516-2348,24366
RN,Caico,Rua Otávio Lamartine,461 -,Centro,84 3417-1012,2002259
SC,Abelardo Luz,"Av. Castelo Branco, 1379, Centro.",1379 -,Centro,49-3445 5082,2003763
SC,Sao Jose,Avenida Leoberto Leal,689 -,Barreiros,4733019000,1063638
RS,Sao Sepe,Rua Plácido Gonçalves,1510 - 1º Andar,Centro,55 32332444,11709
CE,Fortaleza,Avenida Lineu Machado,419 - - Até 1180 - Lado Par,Jóquei Clube,(85) 9904-8118,1077796
GO,Valparaiso de Goias,Quadra 01 Area Especial,S/n - Sala 43,Parque  Esplanada Iii,(61)3627-0805,6298
RJ,Nova Friburgo,Rua Moisés Amélio,17 - Sala 311,Centro,22 22 2522 2039,12799
PR,Ibaiti,Rua Teófilo Marques da Silva,883 - 287 Sala 14,Centro,00,11021
PE,Recife,Rua Jorge Tasso Neto,318 -,Apipucos,(81) 4009-7777,1076040
BA,Teixeira de Freitas,Avenida Presidente Getúlio Vargas,3580 -,Centro,4733019000,2006798
PA,Braganca,"Travessa Marcelino Castanho, 523 Centro",64 -,Cereja,91-34251448,11076
PA,Altamira,Rua Sete de Setembro,S/n -,N. Srª da Medianeira,(93) 3502-2290,11025
MT,Sinop,Rua dos Cajueiros,1040 -,Centro,(66)3520-3300,8622
MT,Tabapora,"Av. Dr. Carlos Vidoto, 170 Centro",545n -,Centro,66-3557-1702,11019
SP,Santa Barbara D`oeste,Rua Juscelino Kubitschek de Oliveira,1450 -,2º Distrito Industrial,(43) 3371-7473  (31) 2126-0820,22467
MT,Porto dos Gauchos,"Av. D. Leopoldina Wilke, S/n, Centro.",1017 -,Centro,(41)3526-1018,11008
MT,Juara,Rua São Paulo,305 - 2º Andar,Não Informado,(66) 35564931,10983
PA,Capitao Poco,Travessa. We-3,2140 - Conjunto Jr,Rodoviário,4733019000,1064762
SP,Mairinque,Av. 27 de Outubro,587 -,Vila Sorocabana,4733019000,2005632
GO,Valparaiso de Goias,Quadra 05,S/n - Lotes 01/3,Parque Rio Branco,(43) 3371-7473 (31) 2126-0820,2003312
SP,Diadema,Rua Turmalinas,132 - Sala 05,Jardim Donini,(11) 3425-9832,2003845
MT,Rondonopolis,Avenida Joaquim de Oliveira,1334 -,Vila Aurora I,(43) 3371-7473  (31) 2126-0820,3181
ES,Cachoeiro de Itapemirim,Rua Dom Fernando,49 -,Independência,(43) 3371-7473  (31) 2126-0820,4058
SP,Sao Paulo,Rua Conselheiro Crispiniano,116/120 -,Centro,(11) 21734719 ou (11)21734797,659743
DF,Brasilia,"Quadra 12, ??rea Reservada .03.",03 -,Sobradinho,(43) 3371-7473  (31) 2126-0820,7110
RJ,Rio de Janeiro,Estrada do Campinho,4700 - - de 3576/3577 Ao Fim,Inhoaíba,044-30276360,1063251
BA,Caetite,"Travessa Av. Contorno, 170 São José",288 -,Centro,77 3454-2643,10740
DF,Brasilia,Super Center Venâncio 2000,"- Sc/sul - Quadra 08, Bloco B60, Salas 501-504, 5º Andar",Asa Sul,43-33717473 31 21260820,1060597
AP,Macapa,Rua General Rondon,748 -,Julia Ramos,(43) 3371-7473  (31) 2126-0820,2008620
MG,Almenara,Rua Vereador Virgílio Mendes Lima,847 -,São Pedro,(33) 3721 1098,659605
AC,Cruzeiro do Sul,"Rua Rui Barbosa, 484 Centro",S/n - Box 04,Mirante do Cais,68-9984-5016,10609
DF,Brasilia,Quadra 1,"S/n - (qi 01, Lotes 100/120/140)",Setor Industrial,(43) 3371-7473  (31) 2126-0820,3124
RJ,Rio de Janeiro,Rua Capitão Barbosa,170 -,Praia da Bandeira,(21)2467-4761,2003690
PR,Pato Branco,Rua Paraná,673 - Sala 9 e 10,Centro,044-30276360,1063290
AL,Arapiraca,Rua Monsenhor Macedo,05 -,Centro,82 35391259,10627
AL,Palmeira dos Indios,Rua Graciliano Ramos,180 -,Centro,82 3421-3725,10654
AC,Feijo,Rua Floriano Peixoto,152 -,Centro,(43) 3371-7473  (31) 2126-0820,7049
BA,Alagoinhas,Rua Dom Pedro Ii,102 -,Centro,08000987654,7337
MT,Cuiaba,Avenida Fernando Correa da Costa,374 -,Poção,(43) 3371-7473 (31) 2126-0820,4108
MG,Rio Pomba,Rua Cel. Antônio Pedro,384 -,Rosário,32 3571 1562,10928
BA,Ribeira do Pombal,R. Paraná,851 -,Centro,7132068002,1063220
MG,Mariana,Rua Dom Viçoso,41 -,Centro,(31) 3557-2269,27892
SC,Criciuma,Rua Pascoal Meller,73 -,Universitário,(48) 3431 7500 / (48) 343-17568,659339
MG,Novo Cruzeiro,Av Julio Campos,596 A -,Centro,044-30276360,1063245
SC,Pinhalzinho,Avenida Brasília,625 -,Centro,4733019000,1064595
AM,Manaus,Av. Igarapé de Manaus,211 -,Centro,(92) 32125351,1033650
SP,Sorocaba,"Rodovia Senador José Ermírio de Moraes, Km 1,5",1425 -,Alto da Boa Vista,(15) 3238-1188,658023
SP,Aguas de Sao Pedro,Parque Doutor Octávio de  Moura Andrade,S/n -,Centro,(19)34827000,2994
SP,Sao Paulo,Rua Marquês de Paranaguá,111 -,Consolação,(11) 3124-5744,1794
RJ,Campos dos Goytacazes,Rua Doutor Beda,112 -,Turf Club,2227246813,1055292
MG,Belo Horizonte,Avenida Francisco Sales,23 -,Floresta,(31) 2516-4801,9104
MG,Barbacena,Rua Cruz das Almas,-,Cruz das Almas,(31) 3048-5185,1039766
CE,Maracanau,Avenida Senador Almir Pinto,8885 -,Jacanau,85-99339453,1065928
SP,Ribeirao Preto,Avenida Itatiaia,1176 -,Jardim Sumaré,(16)3602-6960,28217
ES,Serra,Rua Pouso Alegre,49 -,Barcelona,"Matutuino, Vespertino e Noturno",1066095
RJ,Rio de Janeiro,Rua Cosme Velho,155 - - Até 799 - Lado ??mpar,Cosme Velho,21 3505-9805,1059794
RJ,Rio de Janeiro,Avenida Presidente Wilson,165 -,Centro,(43) 3371-7473  (31) 2126-0820,1051704
SP,Pindamonhangaba,Avenida Doutor Jorge Tibiriçá,570 -,Chácara da Galega,(43) 3371-7473  (31) 2126-0820,24158
SP,Osasco,Rua Euclides da Cunha,390 -,Centro,(11) 3682 2528,131753
MG,Pouso Alegre,Rua Coronel Otávio Meyer,160 - Sala 330,Centro,044-30276360,1063643
SP,Itapira,Rua Alfredo Pujol,230 - Piso Superior,Santo Antonio,11-5586-4295,1073885
SP,Araraquara,Rua Carlos Gomes,1217 -,Centro,(16) 3333-7273,1037197
SP,Araraquara,Rua Carlos Gomes,2085 - - de 1070/1071 A 3123/3124,Centro,(43) 3371-7473  (31) 2126-0820,4264
BA,Salvador,Avenida Adhemar de Barros,40 -,Ondina,(71) 40092840,23237
SC,Jaragua do Sul,Rua Guilherme Dancker,161 - Polo de Apoio Presencial de Jaraguá do Sul/sc,Centro,(47) 3301-9132,1083854
SC,Lauro Muller,Rua Amâncio Limas da Luz,72 - Polo de Apoio Presencial de Lauro Muller/sc,Centro,(47) 3301-9132,1083860
SC,Camboriu,Rua Anastácio José Pereira,768 - Polo de Apoio Presencial de Camboriú/sc,Centro,(47) 3301-9132,1083801
RS,Santo Antonio da Patrulha,Rua Marechal Floriano Peixoto,94 - Polo de Apoio Presencial de Santo Antônio da Patrulha/rs,Centro,(47) 3301-9132,1083923
RS,Santa Rosa,Rua Santa Rosa,536 -,Centro,(55)35113800,6178
RS,Santo Angelo,Rua Marechal Floriano,551 - Polo de Apoio Presencial de Santo ??ngelo/rs,Centro,(47) 3301-9132,1083915
SC,Navegantes,Avenida Conselheiro João Gaya,1190 - Polo de Apoio Presencial de Navegantes/sc,Centro,(47) 3301-9132,1083878
RS,Porto Alegre,Rua General Vitorino,229 - Térreo,Centro,(51)32215040,1043644
RN,Goianinha,Rua Abdon Grilo,8 -,Centro,(43) 3371-7473 (31) 2126-0820,23048
RJ,Quissama,Rua Edval Barcelos,220 -,Caxias,2227681518,1075201
RS,Porto Alegre,Rua Voluntários da Pátria,678 -,Centro,51 - 32276070,1043622
BA,Lauro de Freitas,Avenida Luís Tarquínio Pontes,600 -,Centro,(71)3378-8151,658951
PR,Sarandi,Av. Antônio Volpato,1488 - Polo de Apoio Presencial de Sarandi/pr,Centro,(47) 3301-9132,1084562
PR,Telemaco Borba,Avenida Paraná,443 - Polo de Apoio Presencial de Telêmaco Borba/pr,Centro,(47) 3301-9132,1084473
SP,Santo Andre,Rua das Esmeraldas,67 -,Jardim,11 4831-9436,659618
RJ,Teresopolis,Rua Francisco Sá,42 -,Várzea,(21) 2743-1437,17760
PR,Cascavel,Avenida das Torres,500 -,Loteamento Fag,(45) 3321-3900 / 3321-3873,658355
PE,Sao Bento do Una,Praça da Matriz,15 - Polo de Apoio Presencial de São Bento do Una/pe,Centro,(47) 3301-9132,1083930
PE,Recife,Rua Camilo Collier,136 -,Boa Viagem,(71) 3227-6404,26532
SP,Sandovalina,"Av. Prefeito João Borges Frias, 1460 Vila Nova",637 -,Vila Nova,(18) 3277-1153,13384
PB,Joao Pessoa,Avenida Presidente Epitácio Pessoa,80 -,Centro,(83) 3031 5918,10749
MT,Varzea Grande,Rua São Paulo,Lt 15 - Polo de Apoio Presencial de Várzea Grande/mt,Nova Varzea Grande,(47) 3301-9132,1084475
MS,Corumba,Rua Tenente Benedito Melquiades de Jesus,700 -,Centro,(43) 3371-7473  (31) 2126-0820,2008488
SC,Laguna,Av. Colômbia Machado Sales,145 - Polo de Apoio Presencial de Laguna/sc,Centro,(47) 3301-9132,1083857
SP,Lencois Paulista,Rodovia Osni Mateus,S/n - Km 108,São Judas Tadeu,14 - 32693800,658478
MG,Sete Lagoas,Rua João Reis,164 - Polo de Apoio Presencial de Sete Lagoas/mg,São Geraldo,(47) 3301-9132,1083954
BA,Salvador,Praça Conselheiro Almeida Couto - Bairro Nazaré,374 - - Até 374/375,Nazaré,(11) 5586-4295,1076555
MG,Sao Lourenco,Avenida Dom Pedro Ii,135 -,Centro,(35) 3332 2700,106291
MG,Salinas,Rua Alameda dos Oitis,341 - Polo de Apoio Presencial de Salinas/mg,Sílvio Santiago,(47) 3301-9132,1083912
RS,Horizontina,Rua Buricá,725 -,Centro,55 3537 7707,658759
MG,Minas Novas,Av. Delfim Moreira,45 - Polo de Apoio Presencial de Minas Novas/mg,Centro,(47) 3301-9132,1083868
MG,Contagem,Ceasa Mg - Br040 - Km 688,-,Kennedy,(31)3357-3433,1069477
PB,Campina Grande,Rua Ministro José Américo de Almeida,-,Santo Antônio,83-33436280,1067921
PB,Joao Pessoa,Rua Monsenhor Walfredo Leal,439 -,Tambiá,1155864291,1065184
GO,Senador Canedo,"Avenida Dom Emanuel, Quadra 01a",Lote 11r - Polo de Apoio Presencial de Senador Canedo/go,Jardim de Todos Os Santos,(47) 3301-9132,1084639
GO,Luziania,Rua Bate Couro,S/n - Qd 01 Lote 01 A 03,Rosário,(43) 3371-7473  (31) 2126-0820,7065
MG,Belo Horizonte,Rua Paracatu,600 - - Até 1049/1050,Barro Preto,3133492914,1081853
MG,Sete Lagoas,Avenida Marechal Castelo Branco,2.765 - Campus Universitário,Santo Antônio,(31)2106-2106 - R-2179,659976
PR,Lapa,Rua Senador Souza Naves,864 -,Centro,41 36225678,11130
PR,Campo Mourao,Avenida Capitão ??ndio Bandeira,1060 - Prédio,Centro,44-3016-7100,139609
DF,Brasilia,Quadra Qne 24,S/n - Lotes 06/08,Taguatinga Norte (taguatinga),11 5586 4291,1056445
GO,Jatai,Rua Vista Alegre,261 -,Setor Planalto,(64) 3631-2830,9325
DF,Brasilia,Super Center Venâncio 2000,"60 - Scs Quadra 08, Bloco B, Salas 501 A 504 - 5º Andar",Asa Sul,(61)3044-7400,1069950
DF,Brasilia,Qe,08 - ??rea Especial No. 1,Guará I,6132140108,1046749
DF,Brasilia,Quadra Shis Ql 20,S/n - Lotes Impares 0 A 25,Setor de Habitações Individuais Sul,S/N,2002938
MA,Paco do Lumiar,Rua Trinta e Seis,S/n - Polo de Apoio Presencial de Paço do Lumiar/ma,Maiobão,(47) 3301-9132,1083881
CE,Juazeiro do Norte,Rua São Paulo,794 -,Centro,(43) 3371-7473  (31) 2126-0820,7267
CE,Fortaleza,Avenida Domingos Olímpio,1550 -,Farias Brito,8592098735,1053218
